BOOK_ORDER,BOOK_ABBREV,BOOK,CHAPTER,VERSE,READING
13,1 Chr,1+Chronicles,9,25,
13,1 Chr,1+Chronicles,9,26,
13,1 Chr,1+Chronicles,9,27,
13,1 Chr,1+Chronicles,9,28,
13,1 Chr,1+Chronicles,9,29,
13,1 Chr,1+Chronicles,9,3,
13,1 Chr,1+Chronicles,9,30,
13,1 Chr,1+Chronicles,9,31,
13,1 Chr,1+Chronicles,9,32,
13,1 Chr,1+Chronicles,9,33,
13,1 Chr,1+Chronicles,9,34,
13,1 Chr,1+Chronicles,9,35,
13,1 Chr,1+Chronicles,9,36,
13,1 Chr,1+Chronicles,9,37,
13,1 Chr,1+Chronicles,9,38,
13,1 Chr,1+Chronicles,9,39,
13,1 Chr,1+Chronicles,9,4,
13,1 Chr,1+Chronicles,9,40,
13,1 Chr,1+Chronicles,9,41,
13,1 Chr,1+Chronicles,9,42,
13,1 Chr,1+Chronicles,9,43,
13,1 Chr,1+Chronicles,9,44,
13,1 Chr,1+Chronicles,9,5,
13,1 Chr,1+Chronicles,9,6,
13,1 Chr,1+Chronicles,9,7,
13,1 Chr,1+Chronicles,9,8,
13,1 Chr,1+Chronicles,9,9,
53,1 Cor,1+Corinthians,1,1,
53,1 Cor,1+Corinthians,1,10,
53,1 Cor,1+Corinthians,1,11,
53,1 Cor,1+Corinthians,1,12,
53,1 Cor,1+Corinthians,1,13,
53,1 Cor,1+Corinthians,1,14,
53,1 Cor,1+Corinthians,1,15,
53,1 Cor,1+Corinthians,1,16,
53,1 Cor,1+Corinthians,1,17,
53,1 Cor,1+Corinthians,1,18,
53,1 Cor,1+Corinthians,1,19,
53,1 Cor,1+Corinthians,1,2,
53,1 Cor,1+Corinthians,1,20,
53,1 Cor,1+Corinthians,1,21,
53,1 Cor,1+Corinthians,1,22,
53,1 Cor,1+Corinthians,1,23,
53,1 Cor,1+Corinthians,1,24,
53,1 Cor,1+Corinthians,1,25,
53,1 Cor,1+Corinthians,1,26,
53,1 Cor,1+Corinthians,1,27,
53,1 Cor,1+Corinthians,1,28,
53,1 Cor,1+Corinthians,1,29,
53,1 Cor,1+Corinthians,1,3,
53,1 Cor,1+Corinthians,1,30,
53,1 Cor,1+Corinthians,1,31,
53,1 Cor,1+Corinthians,1,4,
53,1 Cor,1+Corinthians,1,5,
53,1 Cor,1+Corinthians,1,6,
53,1 Cor,1+Corinthians,1,7,
53,1 Cor,1+Corinthians,1,8,
53,1 Cor,1+Corinthians,1,9,
13,1 Chr,1+Chronicles,26,1,
13,1 Chr,1+Chronicles,26,10,
13,1 Chr,1+Chronicles,26,11,
13,1 Chr,1+Chronicles,26,12,
13,1 Chr,1+Chronicles,26,13,
13,1 Chr,1+Chronicles,26,14,
13,1 Chr,1+Chronicles,26,15,
13,1 Chr,1+Chronicles,26,16,
13,1 Chr,1+Chronicles,26,17,
13,1 Chr,1+Chronicles,26,18,
13,1 Chr,1+Chronicles,26,19,
13,1 Chr,1+Chronicles,26,2,
13,1 Chr,1+Chronicles,26,20,
13,1 Chr,1+Chronicles,26,21,
13,1 Chr,1+Chronicles,26,22,
13,1 Chr,1+Chronicles,26,23,
13,1 Chr,1+Chronicles,26,24,
13,1 Chr,1+Chronicles,26,25,
13,1 Chr,1+Chronicles,26,26,
13,1 Chr,1+Chronicles,26,27,
13,1 Chr,1+Chronicles,26,28,
13,1 Chr,1+Chronicles,26,29,
13,1 Chr,1+Chronicles,26,3,
13,1 Chr,1+Chronicles,26,30,
13,1 Chr,1+Chronicles,26,31,
13,1 Chr,1+Chronicles,26,32,
13,1 Chr,1+Chronicles,26,4,
13,1 Chr,1+Chronicles,26,5,
13,1 Chr,1+Chronicles,26,6,
13,1 Chr,1+Chronicles,26,7,
13,1 Chr,1+Chronicles,26,8,
13,1 Chr,1+Chronicles,26,9,
13,1 Chr,1+Chronicles,27,1,
13,1 Chr,1+Chronicles,27,10,
13,1 Chr,1+Chronicles,27,11,
13,1 Chr,1+Chronicles,27,12,
13,1 Chr,1+Chronicles,27,13,
